Parcel_Number
41-04-08-100-040
41-04-08-100-023
41-09-24-476-023
41-19-26-101-015
41-23-10-203-017
41-18-33-351-036
41-06-04-476-001
41-17-01-158-064
41-18-04-151-017
41-13-14-226-006
41-22-19-301-005
41-17-12-128-001
41-03-31-131-009
41-15-28-480-007
41-15-28-480-013
41-15-28-480-018
41-15-28-480-012
41-15-28-480-009
41-15-28-480-011
41-15-28-480-008
41-02-31-100-007
41-13-12-101-044
41-01-36-276-008
41-17-31-175-004
41-17-31-175-005
41-17-31-175-012
41-17-31-175-013
41-17-31-175-014
41-17-31-175-021
41-17-31-175-022
41-17-31-175-024
41-17-31-175-023
41-18-03-354-015
41-14-32-383-001
41-02-22-300-037
41-02-22-300-065
41-10-29-153-016
41-21-11-276-009
41-14-32-378-010
41-21-25-200-029
41-21-25-200-044
41-21-25-200-043
41-22-11-383-012
41-10-29-153-019
41-23-21-201-003
41-17-11-253-020
41-21-16-451-017
41-18-07-279-053
41-18-06-482-012
41-16-04-426-026
41-13-02-427-024
41-09-27-400-003
41-18-30-487-028
41-18-30-487-080
41-14-32-383-005
41-14-32-382-010
41-03-05-129-024
41-13-14-434-033
41-21-17-126-003
41-22-08-351-026
41-23-18-300-020
41-17-12-301-047
41-13-12-351-053
41-05-22-230-013
41-14-32-309-022
41-23-10-300-002
41-13-02-230-007
41-18-05-128-007
41-18-05-128-009
41-03-20-100-015
41-18-06-203-028
41-18-06-203-038
41-14-07-427-001
41-17-12-228-044
41-17-12-228-039
41-18-10-402-005
41-17-12-229-025
41-01-27-300-006
41-21-17-376-003
41-09-12-100-008
41-09-10-100-008
41-09-12-501-001
41-06-03-300-039
41-10-30-455-019
41-18-29-302-017
41-12-29-277-002
41-12-29-227-038
41-15-28-480-017
41-15-28-480-014
41-14-29-279-033
41-21-22-101-002
41-10-32-456-016
41-24-19-300-010
41-18-05-379-016
41-01-35-101-003
41-13-14-451-013
41-02-04-400-022
41-06-04-427-007
41-09-24-351-003
41-09-02-426-009
41-11-08-160-021
41-17-24-130-006
41-14-08-401-006
41-10-14-378-043
41-23-15-200-002
41-10-33-103-010
41-23-10-400-002
41-23-10-400-032
41-18-05-229-019
41-02-18-300-037
41-10-06-300-029
41-02-09-451-015
41-14-28-251-011
41-10-07-101-005
41-18-26-276-017
41-09-24-200-003
41-09-24-200-005
41-09-24-200-006
41-09-24-200-049
41-02-36-100-009
41-15-33-401-011
41-14-32-335-010
41-05-36-100-030
41-13-31-151-001
41-13-25-327-010
41-18-06-203-036
41-18-06-203-033
41-14-32-336-003
41-10-27-301-008
41-17-01-156-049
41-14-32-337-019
41-13-01-101-047
41-09-08-200-007
41-13-23-281-015
41-02-16-400-032
41-02-15-300-023
41-14-18-336-010
41-16-33-400-033
41-23-11-451-030
41-05-24-102-025
41-09-24-127-012
41-01-35-200-021
41-02-05-300-020
41-01-30-400-030
41-10-32-478-017
41-11-20-100-024
41-18-05-480-026
41-18-05-480-032
41-10-30-477-041
41-10-30-428-008
41-18-05-481-005
41-13-24-155-005
41-13-13-353-007
41-11-03-300-024
41-13-14-476-019
41-15-31-253-060
41-15-31-253-055
41-13-14-477-025
41-06-04-451-001
41-14-29-228-022
41-13-14-477-015
41-13-14-477-023
41-10-31-204-008
41-18-30-451-019
41-18-30-451-025
41-13-12-104-036
41-13-24-151-006
41-20-02-180-001
41-14-18-107-011
41-14-32-351-001
41-14-32-351-010
41-18-09-330-212
41-21-21-201-001
41-18-30-376-021
41-14-18-108-026
41-03-31-127-006
41-21-11-250-171
41-22-21-200-041
41-09-23-100-026
41-19-34-326-022
41-09-24-301-006
41-09-24-301-012
41-18-19-176-043
41-18-19-176-055
41-22-13-200-021
41-18-19-177-002
41-10-14-327-002
41-14-31-476-014
41-14-31-476-017
41-14-31-476-019
41-14-31-476-023
41-14-31-476-024
41-14-31-476-026
41-23-11-227-034
41-09-10-300-003
41-14-09-176-001
41-14-31-476-015
41-18-05-176-001
41-21-24-300-031
41-18-06-457-023
41-24-25-100-013
41-15-28-480-015
41-15-28-480-010
41-18-06-458-018
41-09-01-501-002
41-09-35-227-003
41-02-06-200-038
41-02-06-200-037
41-18-06-458-014
41-18-06-460-003
41-21-08-300-006
41-18-26-276-020
41-01-26-100-025
41-24-10-300-006
41-17-01-127-022
41-17-01-156-051
41-13-07-451-034
41-09-24-151-017
41-18-07-103-015
41-17-01-152-039
41-09-36-151-024
41-10-29-301-031
41-22-09-451-032
41-18-07-428-009
41-09-24-151-007
41-23-09-400-006
41-18-05-108-016
41-18-05-108-020
41-18-05-108-021
